volumn	time
687	200.86
672	206.71
696	83.24
709	146.44
718	84.54
746	85.66
751	84.6
808	188.94
731	361.19
816	184.61
756	80.28
788	183.17
747	301.64
765	85.29
806	84.21
797	183.72
908	174.15
909	170.42
844	223.51
875	81.67
878	128.1
867	218.06
828	232.08
861	86.66
903	177.99
855	222.04
915	126.04
936	125.79
916	126.55
965	123.05
985	122.96
967	83.67
1008	119.65
1006	82.18
1045	155.47
1081	118.21
1043	122.78
987	120.63
1012	160.91
1093	116.33
1070	117.71
907	82.13
1008	81.6
987	120.66
959	121.49
1042	117.73
1031	198.36
964	4272.68
1062	119.58
1086	187.32
1015	80
1082	115.56
1103	152.18
1140	116.51
1098	153.96
1180	146.81
1041	235.95
1072	195.07
1094	187.83
1126	112.71
1073	154.9
1189	77.7
1154	80.85
1144	217.65
1045	156.15
1136	114.35
1132	112.91
1194	109.74
1185	182.57
1214	144.18
1133	116.29
1185	180.11
1263	111.62
1205	111.76
1220	145.15
1212	111.9
1291	79.37
1214	175.99
1187	213.38
1194	143.88
1139	75.86
1208	109.82
1182	212.18
1216	110.12
1126	115.26
1190	148.77
1241	110.87
1186	146.32
1245	171.18
1190	79.45
1210	111.21
1232	239.55
1205	110.36
1191	143.63
1214	175.2
1217	144.84
1256	107.02
1211	74.06
1218	144.81
1238	109.56
1179	214.28
1279	139.15
1223	109.1
1249	75.8
1296	196.94
1233	77.69
1253	110.13
1190	76.13
1214	76.39
1250	140.85
1283	108.61
1331	138.02
1322	105.13
1382	106.6
1296	203.02
1160	111.66
1219	111.05
1185	147.35
1192	77.77
1272	111.17
1265	173.04
1266	112.29
1238	108.62
1266	172.64
1213	143.62
1284	173.29
1261	203.99
1348	167.67
1315	109.69
1339	138.97
1293	78.84
1301	77.61
1283	74.46
1219	110.27
1285	107.83
1230	107.35
1268	110.67
1181	113.9
1210	109.55
1228	142.6
1191	75.67
1240	77.33
1183	78.84
1202	142.98
1210	79.8
1206	77.83
1220	176.66
1231	143.46
1236	107.01
1177	115.47
1189	114.14
1234	142.62
1263	141.37
1214	175.22
1194	178.51
1219	109.92
1237	77.21
1235	110.88
1209	113.64
1181	179.18
1176	179.38
1178	213.75
1174	109.74
1179	146.09
1182	109.79
1247	141.23
1157	77.63
1130	10807.03
1161	149.04
1087	262.23
1150	149.61
1194	78.43
1140	183.19
1159	186.86
1198	177.15
1164	80.34
1181	78.35
1181	147.89
1217	78.61
1141	184.53
1155	249.85
1137	114.61
1124	188.01
1116	113.23
1093	187.03
1143	110.86
1140	79.06
1152	77.51
1146	148.96
1114	79.69
1101	150.81
1100	148.84
1074	152.54
1081	76.69
1113	186.92
1032	115.53
1098	78.52
1115	258.75
1081	151.63
1077	116.73
1013	117.22
1081	116.4
1150	146.41
1061	193.76
1095	188.22
1114	225.41
1160	150.67
1139	186.06
1055	115.77
1067	189.04
1062	78.32
1143	150.97
1131	108.83
1143	148.85
1129	221.73
1074	77.02
1092	149.41
1074	152.19
1057	77.76
1109	258.67
1056	117.12
1052	79.46
1078	150.84
1030	162.56
950	206.68
991	120.37
1031	77.72
1043	78.23
988	121.81
1071	80.24
1049	81.47
1102	151.75
1057	84.66
1077	154.88
1083	80.87
1011	155.81
1027	81.03
1030	75.48
1100	150.53
1129	149.51
1104	186.42
1160	179.69
1137	184.43
1070	153.13
1136	75.71
1077	112.78
1070	190.75
1081	112.57
1115	151.1
1132	83.73
1140	76.31
1109	185.32
1178	176.48
1009	116.01
1107	78.64
1160	109.65
1116	147.79
1142	110.61
1143	148.74
1108	150.13
1100	116.45
1105	76.12
1144	146.35
1095	112.54
1159	146.93
