volumn	rate	time
1175	94.81%	213.45
1158	96.11%	148.74
1182	95.77%	112.48
1068	96.07%	151.82
1116	96.42%	76.54
1148	94.95%	77.17
1099	95.72%	115.03
1150	95.48%	82.12
1126	95.38%	222.12
1143	95.80%	254.98
1202	96.26%	113.14
1254	96.25%	139.59
1191	94.96%	140.46
1132	96.20%	149.12
1146	94.68%	182.14
1143	95.10%	182.89
1192	96.14%	114.16
1182	96.19%	180.11
1189	96.13%	82.37
1171	94.88%	78.54
1152	96.09%	79.63
1181	95.68%	143.56
1104	95.11%	111.1
1108	95.22%	112.58
1167	95.46%	182.02
1195	96.32%	76.29
1184	96.54%	143.7
1077	96.56%	146.4
1116	96.42%	148.9
1161	95.43%	113.7
1161	94.83%	148.04
1136	95.95%	79.28
1139	94.91%	78.34
1095	94.43%	110.55
1177	96.09%	109.73
1163	95.87%	111.42
1169	96.32%	79.42
1142	95.53%	74.58
1089	94.95%	185.69
1162	94.58%	75.91
1086	96.22%	151.92
1145	96.16%	145.64
1146	94.85%	80.91
1173	94.88%	177.94
1091	95.97%	116.11
1130	96.02%	112.07
1104	95.65%	109.78
1159	96.89%	110.16
1069	94.39%	110.82
1168	96.23%	215.72
1119	95.44%	75.69
1101	96.55%	112.01
1052	95.25%	116.28
1128	95.92%	115.65
1076	95.45%	115.37
1093	95.15%	146.56
1087	94.48%	223.63
1049	94.95%	78.26
1127	95.83%	185.36
1171	96.16%	178.2
1180	95.51%	75.01
1066	95.87%	116.25
1094	95.43%	184.79
1098	95.36%	150.95
1124	95.28%	21699
1100	95.73%	115.53
1119	95.80%	154.91
1130	95.93%	78.88
1163	95.61%	115.23
1123	96.08%	147.78
1174	94.80%	249.67
1183	95.86%	79.78
1148	95.56%	146.35
1096	95.62%	112.27
1121	94.38%	185.3
1184	95.61%	143.87
1152	95.31%	249.27
1134	95.06%	77.58
1118	95.44%	149.45
1188	95.54%	147.63
1232	96.51%	143.87
1228	94.87%	237.75
1249	96.16%	107.73
1187	95.96%	78.61
1217	94.25%	177.13
1191	94.54%	111.87
1169	94.95%	144.65
1227	93.48%	173.87
1239	94.83%	176.36
1214	94.15%	110.14
1232	96.02%	144.22
1161	93.28%	112.6
1186	94.77%	177.43
1278	95.07%	143.57
1316	95.14%	138.55
1232	94.81%	143.4
1273	95.37%	141.95
1278	96.24%	206.05
1255	95.54%	110.26
1249	96.08%	205.04
1349	95.55%	107.12
1290	95.12%	79.53
1358	95.29%	104.85
1291	94.97%	74.86
1265	95.02%	77.43
1282	95.63%	74.34
1276	95.77%	110.44
1365	95.82%	105.52
1356	96.17%	133.58
1285	96.58%	77.61
1280	95.94%	140.34
1217	95.15%	73.3
1202	94.34%	173.77
1339	96.04%	134.48
1357	95.43%	163.13
1337	95.14%	136.1
1377	94.77%	161.36
1354	95.27%	134.29
1359	95.51%	74
1354	95.35%	135.93
1260	95.16%	140.15
1288	96.58%	165.46
1233	95.38%	108.38
1385	95.02%	104.98
1369	95.54%	3025.74
1349	95.70%	106.13
1228	95.44%	172.56
1327	93.75%	135.65
1398	95.28%	162.07
1263	94.62%	108.57
1361	96.33%	106.21
1304	96.17%	77.43
1315	95.82%	104.94
1349	95.33%	168.77
1396	95.77%	79.28
1419	95.98%	185.81
1410	95.25%	102.54
1366	95.61%	164.11
1431	95.53%	104.79
1433	95.39%	132.3
1440	95.35%	157.97
1328	96.23%	134.44
1406	95.52%	103.92
1334	94%	255.67
1266	96.52%	106.62
1299	95.77%	109.03
1365	95.97%	134.29
1316	96.50%	75.46
1399	95%	101.3
1316	95.14%	136.93
1290	95.50%	106.92
1309	95.65%	136.69
1402	95.93%	134.04
1302	95.08%	107.68
1340	95.52%	135.75
1289	95.81%	169.62
1251	96.40%	75.11
1317	94.31%	134.94
1205	95.35%	107.86
1384	94.65%	160.22
1314	95.21%	136.38
1317	95.98%	168.14
1260	95.16%	107.36
1344	95.31%	137.05
1279	96.09%	76.69
1333	95.65%	106.49
1324	95.85%	76.42
1290	94.65%	107.27
1301	94.24%	139.04
1305	95.71%	136.77
1290	96.67%	109.56
1337	96.26%	78.6
1269	95.43%	110.62
1287	95.18%	108.8
1268	95.03%	141.49
1287	96.58%	110.07
1351	95.63%	106.2
1309	94.73%	140.62
1294	95.44%	260.28
1245	94.30%	110.04
1234	95.14%	77.48
1199	95.75%	73.47
1257	95.94%	139.85
1342	96.20%	134.95
1361	95.96%	6013.83
1295	95.21%	78.57
1268	95.82%	171.92
1271	96.07%	109.17
1317	96.28%	166.67
1260	94.52%	77.1
1288	94.57%	200.21
1379	94.63%	104.31
1418	95.56%	103.65
1391	95.83%	75.84
1315	95.13%	109.22
1353	94.75%	104.7
1342	94.86%	136.19
1255	95.94%	108.54
1340	95.37%	164.63
1313	94.97%	167.28
1331	95.49%	137.08
1334	95.50%	107.82
1345	95.24%	197.23
1359	95.66%	106.57
1357	95.80%	135.21
1383	95.01%	74.2
1324	94.41%	78.13
1329	95.86%	137.85
1388	96.25%	136.62
1404	95.66%	191.67
1392	95.04%	163.55
1398	95.85%	103.86
1401	95.93%	101.9
1407	95.38%	105.56
1471	94.97%	134.42
1439	95.62%	110.32
1425	95.93%	168.21
1355	96.53%	108.8
1388	96.47%	161.12
1406	96.37%	158.76
1380	94.93%	221.61
1319	95.68%	229.07
1273	96.23%	109.07
1386	95.38%	134.62
1267	95.74%	139.64
1314	95.81%	196.94
1388	95.46%	74.64
1458	95.13%	131.59
1364	95.67%	75.65
1317	95.29%	110.79
1373	96.14%	198.46
1320	96.21%	105.27
1442	95.15%	103.1
1320	95.23%	73.75
1378	96.66%	163.99
1406	95.73%	108.46
1345	95.69%	156.52
1336	96.71%	137.6
1355	95.94%	212.86
1372	95.12%	134.71
1351	95.11%	108.35
1322	95.99%	134.12
1275	96%	134.91
1307	96.33%	74.45
1226	95.92%	76.78
1226	96.41%	107.86
1234	95.46%	108.74
1291	95.35%	138.3
1320	95.98%	200.03
1237	95.55%	106.95
1288	96.35%	107.9
1368	95.47%	73.28
1399	95.57%	134.72
1399	95.50%	102.78
1306	95.87%	78.27
1345	95.99%	105.78
1328	95.18%	195.74
1318	95.30%	104.86
1252	96.09%	107.48
1231	96.67%	139.02
1297	94.22%	172.07
1280	95.78%	141.26
1327	95.25%	108.21
1330	96.02%	104.48
1311	96.72%	165.24
1246	96.47%	107.61
1363	95.45%	194.39
1303	96.70%	110.17
1250	95.92%	107.15
1333	95.87%	138.91
1303	95.17%	107.24
1271	95.59%	109.16
1237	95.72%	78.14
1249	96.24%	205.09
1264	95.81%	76.59
1308	95.80%	200.97
1261	94.85%	108.95
1297	95.07%	136.97
1221	95.90%	107.56
1223	94.77%	141.33
1269	94.72%	140.67
1322	95.39%	168.77
1227	95.27%	78.38
1237	94.99%	75.8
1179	94.91%	145.87
1248	94.79%	80.8
1197	95.32%	146.51
1268	95.66%	77.62
1248	93.59%	109.65
1306	95.56%	139.51
1286	94.56%	77.89
1330	94.21%	104.77
1364	96.11%	133.85
1330	95.86%	168.98
1349	96.22%	166.48
1304	95.86%	139.25
1322	96.97%	169.24
1230	96.18%	175.17
1229	95.77%	110.65
1317	96.05%	198.69
1240	94.84%	107.77
1213	96.54%	143.82
1240	95.32%	179.19
1202	95.67%	115.9
1275	95.92%	79.66
1247	95.19%	110.75
1234	95.30%	111.11
1235	95.71%	176.69
1271	96.30%	109.92
1198	95.24%	144.78
1263	95.33%	109.32
1248	95.43%	77.55
1356	94.91%	141.86
1267	95.34%	109.97
1363	96.33%	192.71
1231	96.83%	112.98
1334	94.98%	106
1304	95.63%	108.19
1270	95.43%	110.76
1299	95.07%	107.43
1311	94.97%	107.61
1270	95.43%	137.4
1338	95.37%	105.3
1302	95.85%	168.6
1254	97.13%	106
1292	95.67%	108.61
1259	95.55%	105.76
1287	95.42%	107.65
1293	96.83%	139.04
